15,8
8,20
20,19
19,43
43,48
48,22
22,2
2,23
23,50
50,36
36,33
33,7
7,28
28,44
44,35
35,9
9,34
34,32
32,32
32,50
50,8
8,28
28,3
3,27
27,12
12,8
8,3
3,12
12,26
26,42
42,19
19,14
14,41
41,44
44,44
44,37
37,9
9,46
46,34
34,41
41,44
44,30
30,33
33,32
32,38
38,2
2,43
43,15
15,13
13,4
4,47
47,26
26,36
36,13
13,21
21,42
42,50
50,49
49,16
16,27
27,39
39,14
14,13
13,5
5,25
25,36
36,2
2,16
16,38
38,10
10,31
31,42
42,38
38,29
29,42
42,35
35,41
41,8
8,33
33,36
36,43
43,47
47,5
5,41
41,44
44,41
41,25
25,30
30,17
17,50
50,34
34,14
14,16
16,12
12,23
23,4
4,43
43,22
22,45
45,39
